,address,id,daysOnMarket
0,428 West 19th Street #9A,1747255,0
1,320 East 57th Street #PHA,1747229,1
2,345 East 56th Street #10F,1747228,1
3,411 East 57th Street #11AB,1747222,1
4,428 West 19th Street #7D,1747189,1
5,416 West 52nd Street #520,1747178,1
6,311 East 38th Street #19A,1747150,1
7,53 West 53rd Street #50B,1747122,2
8,448 West 37th Street #5F,1747063,2
9,56 Leonard Street #47W,1747055,2
10,400 Park Avenue South #25G,1747049,3
11,77 Greenwich Street #37A,1747037,4
12,430 East 58th Street #PH77,1747025,4
13,18 West 48th Street #15E,1747021,4
14,16 West 16th Street #8RS,1747013,4
